name,address,founded,description,classification
Orane Consulting Pvt Ltd,"C-56A/5. 2nd/3rd Floor, Sector 62, Noida, INDIA - 201306. Landmark: Shri Manglam College Building  ",2009,"Powered by technology and an entrepreneurial spirit, with unmatched expertise, we at Orane strive to transform ideas into experiences. Founded in 2009, Orane Consulting Pvt. Ltd. emerged as a technology partner which builds a digital enterprise and deliver long-lasting value for our clients across domains.Orane provides solutions for SAP ERP Management, Enterprise Digital Transformation, Business Analytics along with a multitude of customized solutions and is fueled by the fast-paced world of innovation and digitization. We are an insights-driven and outcome-based organisation meant to help accelerate returns on your IT and business investments. Orane SAP practice provides enterprises with end-to-end consulting, implementation, migration, and support services.Our deep industry domain experience supported by our proprietary methodologies, frameworks and SAP-certified tools and accelerators help enterprises speed up their digital transformation journey. Orane’s JAVA center of excellence prides itself having delivered multiple complex and cutting edge transformation solutions utilizing technologies like Spring, Apache Struts, Hibernate, ensure an exact match with the business objectives. Our customers regard our team as specialists helping them accelerate their digital journey to accelerate the digital footprint by supporting IT goals & operations.We are a team with a strong set of 200+ Technology & Business Cross-Functional experts from 9 nationalities. Inclusion and diversity foster innovation drives strength and is a competitive asset to our organization.Ashok Dudhat",Technology Consulting
Netzila Technologies LLP,"D 228, 3rd Floor, Ind Area, Sector 74, Mohali, Punjab India",2019,"Netzila Technologies is a leading eCommerce, designing, marketing, and web development company where creativity joins hands with the supremacy of high-end technology that reflects on the progress of our clients. We are a team of passionate, creative, and result-oriented professionals, who aimed to deliver cutting-edge web design &amp; web development services to fulfill the goals and objectives of clients.We ensure the best possible strategic outcome for your website designing initiative and this is what enables our clients to attend the highest level in the online business market. From strategy to website design and WordPress setup, our professionals work with the dedication to deliver client success on every project assigned.Ashok Dudhat",Information Technology
Witmates Technologies Pvt Ltd,"Princes Business Skypark, 7th Floor (712,713,705), Opposite orbit mall, Ab road vijay nagar, Indore (MP)",2018,"Witmates Technologies is a leading technology integrator specializing in helping clients re-imagine operating models, enhance competitiveness, optimize costs, foster exceptional stakeholder experiences and drive business transformation. With our unique ‘global’ approach, we consultatively partner clients across geographies as a robust local provider while allowing them to take advantage of our market-leading portfolio of technology services, solutions, and products; globally.With outstanding employee engagement and status as a preferred employer, we have been recognized as a “Great Place to Work”.Our team of enthusiastic developers, creative designers, and strategic thinkers are obsessed with bringing your ideas to life with amazing results and exceptional ROIs.Ashok Dudhat",Technology
Reverie Language Technologies,"5th Floor, Avana Building, No.884/327/39 Ibblur Village, Sarjapur Road, Bangalore -560102",2009,"Reverie Language Technologies –Serving Bharat in the Language-First Industry  Reverie Language Technologies, a leader in Indian language localization and user engagement technology solutions for over a decade, is working towards creating Language Equality on the Internet. We build AI-powered language technologies integrating text, audio, and video to power the digital experience of 800 million Indians.  Reverie is dedicated to helping clients future-proof their rapidly expanding content by combining cutting-edge technologies like Artificial Intelligence and Neural Machine Translation (NMT) with best-practice approaches for optimizing content and business processes.Ashok Dudhat",Technology
IT Spark Technology,"418, Shekhar Central, New Palasia, Indore-452001, Madhya Pradesh, India.",2015,"Since 2015, we’ve been a prominent IT firm dedicated to providing you with high-quality web design and development, and digital marketing services. We are an award-winning digital agency dedicated to providing outstanding results. We aim to go above and beyond for our clients. We build brand identity and handle all aspects of brand communication. We create, produce and promote brands. Accelerate your business growth with our innovative business solutions.Ashok Dudhat",Information Technology
Valispace,"Rua João Saraiva 34, 3º andar 1700-250, Lisboa, Portugal",,"At Valispace we are developing a software for the challenges engineers face when developing modular hardware – be it rockets, airplanes, satellites, cars and other complex hardware; a solution where engineering teams can do calculations and analyses as well as track the evolution of their design over time when building these products.We have one simple mission: to empower engineers to faster craft the complex products that help propel humanity forward.Ashok Dudhat",Software
Clarigo Infotech Private Limited,"Office No. M1, Plot-22, Scheme-53, Ratan Lok Colony, Vijay Nagar, Indore, Madhya Pradesh 452010 ",2015,"Clarigo is a privately owned IT Support and IT Services business formed in 2015. Today we’re proud to boast a strong team of IT engineers who thrive on rolling up their sleeves and solving your IT problems and meeting your business needs. We are on a mission to exceed your expectations and form a long-term, mutually beneficial relationship with you.Our MissionTo be the global leader in IT Services. Building on our technologies, competencies and customer interests, and creating value for our stakeholders and customers. We’ll achieve this by focusing on the intersection of our client’s emerging needs and the acceleration of business and technological change.Ashok Dudhat",Information Technology
Indus OS,"2nd Floor, Krislon House, B Wing, Krishnalal Road, Saki Naka, Krishanlal Marwah Marg, Saki Vihar, Andheri East, Mumbai, Maharashtra 400072",,"Indus OS is a content and app discovery platform for users, app developers, and OEMs. It is specifically designed and developed for the unique needs and diverse lingual preferences of smartphone users in emerging markets like India.The brand houses India’s largest indigenous Android app store, Indus App Bazaar. It has a strategic partnership with Samsung and powers its flagship app store, Galaxy Store, in India since 2019.Indus App Bazaar focuses on localization, personalization, and ease-of-use. It leverages AI and ML to enable a seamless app discovery journey by delivering contextual app recommendations while helping developers with multi-point distribution and monetization opportunities. It currently serves 400k apps to its 200+ million users in English and 12 Indian languages.Indus OS aims to shoulder India into a new digital age by bridging the barriers between app developers and smartphone users and offering a personalized mobile experience.Ashok Dudhat",Technology
AppSierra Solutions,"112, H Block, Ground Floor, Sector-63, Noida",2015,"AppSierra has been in IT service for 6+ years. Being a specialised firm for providing web & mobile services and solutions, we have mastered dealing with both, National & International Clients.Our service portfolio includes fully customised software testing, web design, and application development, and Mobile Apps e-Business Solutions. Our culture boasts of passionate, innovative, and meticulous professionals.Ashok Dudhat",Technology
techNL,"391 Empire Avenue, Suite 5, St. John's, NL A1E 1W6, CA",1988,"techNL is a not-for-profit industry association representing Newfoundland and Labrador’s technology and innovation sector. Our key focus is to actively work with stakeholders to develop short-term and long-term solutions for availability of talent to support the growth of the technology sector.We help connect candidates with companies in the tech sector in Newfoundland and Labrador.—The technology and innovation sector in Newfoundland and Labrador is a significant economic driver. Local technology companies contribute in excess of $1.6 billion to the economy each year. Fueled by the explosive growth of established companies and new startups, the tech sector in the province is expected to hire more than 2000 employees in the next five years. Best of all, living in the uniquely beautiful and rugged Newfoundland and Labrador offers unique advantages such as: short commutes, affordable housing, accessible ocean views, and activities in the great outdoors.Ashok Dudhat",Technology
Austrian Power Grid,"Wagramer Strasse 19, 1220 Wien",,"APG GEWÄHRLEISTET DIE SICHERE STROMVERSORGUNG ÖSTERREICHS.Das Stromnetz der Austrian Power Grid AG ist das Rückgrat der österreichischen Stromversorgung. Die Stromversorgung funktioniert nach einem wesentlichen Prinzip: Stromerzeugung und Stromverbrauch müssen sich in jeder Sekunde exakt die Waage halten. Nur dann ist das System stabil, die Versorgung sicher. Als unabhängiger Übertragungsnetzbetreiber Österreichs ist die Kernaufgabe der APG, diese Balance in jedem Moment zu halten. Durch sorgsame und langfristige Netzplanung stellen wir sicher, dass das österreichische Stromversorgungssystem auch in Zukunft den stetig wachsenden Herausforderungen gerecht wird.APG GUARANTEES A SECURE POWER SUPPLY IN AUSTRIA.The power grid operated by Austrian Power Grid is the backbone of Austria’s electricity supply. Power generation is based on a basic physical principle: in every second, exactly the same amount of electricity must be generated as is being consumed. Unless the balance between electricity supply and demand is kept within precise parameters, the system will fail and no power can be supplied. As the Austrian transmission system operator, APG’s primary responsibility is to maintain the supply-demand balance at all times.Ashok Dudhat",Energy
Mphasis Limited,"3200 - 500 Centre Street S, Calgary AB",,"Mphasis’ purpose is to be the “Driver in Driverless Car” for Global Enterprises by applying next-generation design, architecture, and engineering services, to deliver scalable and sustainable software and technology solutions. Customer centricity is foundational to Mphasis and is reflected in the Mphasis’Front2Back™ Transformation approach.Front2Back™ uses the exponential power of cloud and cognitive to provide hyper-personalized (C=X2C2TM=1) digital experience to clients and their end customers. Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world.Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization, combined with integrated sustainability and purpose-led approach across its operations and solutions are key to building strong relationships with marquee clients. Click here to know more. (BSE: 526299; NSE: MPHASIS)Ashok Dudhat",Technology/Software
Wipro Canada Ltd,"3200- 500 Centre Street, Calgary AB",,"Touching Canadian lives every day, Wipro Canada’s end-to-end best practice solutions help Canadian businesses and communities innovate and transform digitally. We partner with national brands in some of Canada’s largest industry sectors such as utilities, public sector, financial services, telecom, airports, engineering, construction, and operations.As Canada’s premier information technology, consulting, and business process services company, Wipro sets Canadian businesses up for future growth and success with rich proprietary technology and industry-backed global experience. We’re committed to Canada’s digital future and offer sustainable and innovative solutions so our Canadian customers can get there. Wipro works step by step with its customers for unique and tailored digital transformation practices that directly lead to enhanced customer and employee experiences, increased efficiency and effectiveness, and overall operational excellence.Ashok Dudhat",Information Technology
IBM,"3200 500 Centre Street S, Calgary AB",,"At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you’re searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you.We’re here to help every creator turn their “what if” into what is. Let’s create something that will change everything.Ashok Dudhat",Technology
Arcurve,"1700, 308 4th Avenue SW, Calgary, AB T2P 0H7, Canada ",2006,"Arcurve is one of North America’s leading full-service technology, advisory and software development companies. In 2006, we began with a belief that there was a better way to deliver professional services in the technology industry. Since then, we have completed more than 800 projects for clients ranging from start-ups to Fortune 500 companies. From our offices in Calgary, Halifax, Houston and Vancouver we deliver exceptional results for our clients in a diverse range of industries including telecommunications, oil and gas, transportation, private equity, gaming, infrastructure, software, financial and hospitality.Ashok Dudhat",Technology
Dotbite,"timebite Solutions GmbH, Barichgasse 38/1/6, 1030 Vienna, Austria",2019,"Dotbite is a collective of passionate software engineers, creative designers, digital natives, innovative thinkers, and inspiring product owners who thrive in the digital world. We specialize in scalable solutions for large amounts of data, fast infrastructure, and a user experience made for humans.Ashok Dudhat",Technology
Anyline GmbH,"Anyline GmbH, Zirkusgasse 13/2B, 1020 Wien",2013,Anyline was founded in 2013 and we are currently around 100 employees. We are growing steadily and already have another office in the US. We want to become the global market leader in mobile data capture solutions and be the best in automising AI and enabling people who do not have Machine Learning skills to create mobile data capture solutions on their own. Big things are on the horizon … 😉In short: Anyline – your mobile text recognition expert! Offline data can easily be processed in real-time with our outstanding image processing technology. Customers from both the private and the public sector rely on our technology to create superior digital products for their consumers.Ashok Dudhat,Technology
Equus Software,"Equus Software PT, Unipessoal LDA Avenida Dom João II, Lote 1.06.2.3 1-B, 1990-095 Lisboa - Portugal",1999,"Equus Software is the global leader in cloud-based international relocation and mobility solutions. More than 300 organizations around the world rely on Equus tools and technology to automate mundane, transactional work so that global mobility teams, talent management professionals and other key stakeholders can focus on adding value to the business. Founded in 1999, Equus has a proven track record for delivering cutting-edge talent mobility solutions, continuous innovation and exceptional customer service. We continue to expand with offices in Denver, Dallas, Lisbon, London and Manila. Our relentless focus on creating innovative global mobility solutions has helped us become the market leader in our industry.Ashok Dudhat",Software
SUPPLiot GmbH,"Guntherstraße 6, AT-2301 Groß-Enzersdorf",2019,"You dream it, we code it. Träumen darf man immer, aber wir von SUPPLiot mit Sitz in Wien/Niederösterreich gehen einen Schritt weiter. Wir verstehen, optimieren und digitalisieren als vertrauensvoller Partner die Unternehmensabläufe unserer Kundinnen und Kunden im KMU-Bereich.Unser Team besteht aus Prozess-Versteherinnen und Digitalisieren mit breitem wirtschaftlichem und technischem Know-how. Partnerschaftlich arbeiten wir daran, alle relevanten Business-Abläufe ressourcenschonend, nachhaltig und effizient in einem Tool abzubilden. Wir schaffen Brücken zwischen Theorie und Praxis, zwischen digitaler und analoger Welt, aber vor allem auch zwischen Logistik und IT.Benefits für Mitarbeiterinnen und Mitarbeiter: – Teamevents – von Pizza-Friday über Gokart fahren bis Business-Run– Snacks und Kaffee– eigener Parkplatz vor der Tür– Gleitzeit und Homeoffice[EN]You dream it, we code it. You can always dream, but we at SUPPLiot, based in Vienna/Lower Austria, go one step further. As a trustworthy partner, we understand, optimize and digitize the business processes of our customers in the SME sector.Our team consists of process understanders and digitalizers with broad business and technical know-how. We work in partnership to map all relevant business processes in a tool in a resource-saving, sustainable and efficient manner. We create bridges between theory and practice, between the digital and analog worlds, but above all between logistics and IT.Benefits for employees: – Team events – from Pizza-Friday to go-karting to business run.– Snacks and coffee– Own parking lot in front of the door– Flexitime and home officeAshok Dudhat",Information Technology
Exeon Analytics,-,2016,"Our dynamic and highly passionate team is devoted to protecting enterprises’ IT landscapes through disruptive AI-driven security analytics.Exeon Analytics is a fast-growing and highly innovative cybersecurity scale-up based in Zürich, Switzerland. Our future-proof Network Detection and Response (NDR) solution and award-winning AI algorithms fortify corporate networks of industry leaders across Europe, making us a leading cybersecurity provider in our region.Our mission is to make the digital world more secure by using revolutionary and cutting-edge technology. For this purpose we depend on a diverse, ambitious, and highly skilled team of business and tech professionals. Do you share our passion and do you look for a meaningful and gratifying challenge? Then visit us at our booth.Ashok Dudhat",Cybersecurity
CloudBlue,"Plaza Manuel Llano, s/n. 5th Floor. Santander, Spain. 39011 ",,"CloudBlue, an independent Ingram Micro business, is dedicated to helping service providers of all kinds build, scale and monetize cloud and digital services in the as-a-service economy. Leading telecommunications companies, technology distributors, managed services providers and value-added resellers rely on CloudBlue’s leading commerce platform to automate, aggregate and sell both their own cloud services as well as those from third party ISVs.CloudBlue powers more than 200 of the world’s largest service provider cloud marketplaces, which collectively represents more than 27 million enterprise cloud subscriptions and $1B subscription revenue.Led by forward-thinking leaders, we’re a talented, diverse team working together at the front lines of the anything-as-a-service (XaaS) revolution. With offices around the globe, our goal is to help businesses compete and excel in the XaaS market.Ashok Dudhat",Technology
Eyeware Tech SA,"Rue Marconi 19, 1920 Martigny, Switzerland",2016,"Eyeware is a young company with a big vision of giving phones, computers, cars, and robots the ability to understand our attention. With innovative 3D eye-tracking technology, we open the door to new applications in multiple industries, including Mobile, Automotive, Gaming, and Retail.We focus our mission on the product and the people: develop the most advanced eye-tracking technology, design great products with positive impact in modern society, all while enjoying every moment working together in a world-class team. We are building a professional, friendly, people-centered company.The ideal candidate would share our company culture that values honesty, transparency, fairness, empathy, and proactive independence.In 2020, Eyeware was ranked #4 AI / Software startup in Switzerland, which is the world’s #1 in innovation according to the Global Innovation Index. With headquarters in Switzerland and remote teams all over the world, in Portugal, Romania, USA, and Japan, we have a global mindset and are always looking for amazing new colleagues.Come join us in this journey!Ashok Dudhat",Technology
KOSA AI,"Pastoor Heggelaan 11, Bunnik, UT, Netherlands 3981GJ",2020,"KOSA AI builds AI governance software that detects and mitigates bias throughout the machine learning process to make  technology more inclusive of all genders, ages, races, and more. We are fully remote.Ashok Dudhat",Technology
Storemaven,"Alfasi Street 36, Tel Aviv",2015,"We are the world leader in mobile growth and app-store optimization, empowering mobile app developers like Airbnb, Tik Tok, Uber, Facebook, Google, Disney, and many more using a world-class AI-powered mobile growth platform, and cutting-edge domain expertise.We’re bootstrapped, meaning we’ve achieved unbelievable things and are profitable without ever receiving an outside investment. We know what we’re doing, our market is growing dramatically, and our leadership builds team members to operate effectively and autonomously.So what do we do? Our Products help mobile marketers across UA, ASO, product marketing, brand marketing, and growth teams make better data-driven decisions to maximize the growth of their apps and games.Ashok Dudhat",Technology
Quentic GmbH,Gürtelstraße 30,2007,"We are QuenticOur success is built on committed and motivated employees. Therefore, it is part of our mission to keep the quality and satisfaction of our teams at a high level and to continuously work on further expanding it. This results in a pleasant working environment, individual training opportunities, and a healthy work-life balance.We are continuously growing and always on the lookout for new creative minds who can work with customers from plant engineering and construction, suppliers and waste disposers, and/or from the metal and the automotive industry, etc. to turn our software projects into reality. Whether you are a professional, young professional, student or intern Quentic offers custom entry opportunities and appreciates also unsolicited applications at all times. Our SaaS SolutionQuentic is a product of Quentic. As a growth-oriented company, we have become the industry leader in standardized EHS software solutions since our founding in 2007. We work closely with our customers to develop software solutions that are characterized by simple handling, the highest security, and maximum adaptability for individual company processes.Our Quentic software is a unified platform for all tasks, data and information on health, safety and environmental protection. It helps our customers enormously to manage their companies cost-efficiently, securely, sustainably and in an environmentally-friendly way. Moreover, the software is suitable for management systems according to ISO 14001, ISO 50001 and ISO 45001, which has been officially approved by DEKRA Assurance Services GmbH. Our experienced team has the whole range of professional qualifications needed to provide consistently high-quality service to all our clients. In order to reinforce our dedication to quality, we have set up our quality management in accordance with the recognized standards and have received the ISO 9001 certificate.Data and information security are important components of our corporate and product strategy. Therefore Quentic GmbH is certified according to ISO/IEC 27001 for its IT services, consulting, and online deployment of its Quentic software.Ashok Dudhat",Software
EXELERYS,6 RUE D'ARMAILLE,2014,"A Next Generation #CyberSecurity and #CyberIntelligence Start-Up for Professional Services, Trusted Advisory, Consulting & Education, focused on cutting-edge multi-vendor solutions.Our mission is to actively fight CyberCrime and solve our customer’s concerns through enhanced services & solutions, across their existing infrastructures.We believe in quality before quantity. Always.Our main focus being on delivering excellence to each and every customer, we build solutions to solve existing problems.Customers come first.Our detailed technology solution framework makes our results extremely valuable for our customers.Ashok Dudhat",Cybersecurity
Acrontum GmbH,"Barthstr. 4, 80339 München, Germany",2012,"Acrontum GmbH is a modern web development and IT consulting company with its headquarters based in Munich, Germany. We are currently planning to open up a new office in Portugal.Over the years, we have built up trust with our clients (especially in the automotive sector), large and small, to deliver bespoke applications with modern technologies; the current horizon being APIs delivered via NodeJS in micro-service architectures deployed in Kubernetes clusters (K8s), while keeping a weather eye on the technological edge with topics such as Design-to-Code solutions for the front-end. We give our agile & interdisciplinary squads a strong responsibility so that they own their “products” end-to-end.Above all, we are a diverse, multi-cultural, hard-working, and team-centric company who thoroughly enjoy the technologies, people, and projects we work with.Ashok Dudhat",Technology
EDP Group, ,1976,"We are a multinational, vertically integrated utility company. Throughout over 40 years of history, we have been building a relevant presence in the world energy scene, being present in 22 countries, in 4 continents.With more than 12.100 employees, we are present throughout the electricity value chain and in the gas commercialization activity. We are the fourth-largest wind energy production company in the world and 74% of our energy is produced from renewable resources. We provide electricity and gas to more than 9 million customers.Our Group has joined Euronext Lisbon in 1997 and EDP Brazil and EDP Renewables are also listed companies. Sustainability is part of our DNA and we are a member of Dow Jones Sustainability Index.Ashok Dudhat",Energy
KCS IT,"Rua Sousa Martins, nº10 1050-218 Lisboa",2008,"Founded in 2008 and based in Lisbon, KCS IT is a consulting company in the field of Information Technology and Services, focused on creating value for our clients through three main areas: Consulting, Technology and Training. As project management specialists, we follow the PMI® best practices, on helping our customers to accelerate their development and elevate their technological projects.The constant innovation of KCS IT, associated with the expansion in the IT market and the proximity created between the organization and its professionals, are amongst the main distinguishing factors that we were pointed out.Our commitment to talent development is unmistakable in the recent opening of the Porto, Leiria and Azores hubs, which aims to develop technology for the national and international market.Since 2018 we have been elected one of the top 10 big companies in the “Excellence Index”, an initiative which aims to reward the organizations that invest the most in the development and satisfaction of their employees.Ashok Dudhat",Information Technology
Decode,"Torres de Lisboa - Rua Tomás da Fonseca, Torre G, 7ºC, 1600-209 Lisboa",2019,"Born in 2019 in Portugal, we belong to a multinational group with 20 brands, +5000 employees and offices in 11 countries.We specialize in Digital Consulting in the areas of Web and Mobile development, Business Intelligence, Big Data Analytics, and UI/UX. Our purpose is to address the challenges created by the relationship between management, transaction, and processing of business data with the ever-evolving user experience.It is in exploring the symbiotic relationship between these areas, through the development and implementation of innovative solutions, that DECODE seeks to bring added value to the market.Ashok Dudhat",Technology
Impala Studios,"Impala Studios B.V., Leidsevaart 16, 2013 HA Haarlem",2009,"This is who we are!Impala Studios is a global leading European mobile media publishing, content creating, technology powerhouse. We make people’s daily life joyful, simpler, more informed, skilful and creative through the functionality & content of our portfolio of applications.Our group of talented people (currently over 40 and growing fast) work agile and in X-functional teams. We combine all the right expertise & capabilities to stay on top of the ever-changing app market and constantly grow our portfolio of successful apps. Millions of consumers worldwide enjoy our top-ranked apps daily, and our consumer base is growing every day.Our company culture:We sincerely care for each other and our work-life balance within Impala Studios. In our work, we collaborate and challenge each other. We speak up, we give and receive feedback and we are proud of our “decide and do” mindset. And last but not least, we ensure that what we do is meaningful.Ashok Dudhat",Technology
Riff Inc.,"1090 Lambton Drive Oakville, ON L6J 7P3",,"The industry is filled with growing creators around the world, but managing content creation seems impossible to navigate as social media and other technologies present a tsunami of information that is difficult to sort through. As of right now, you have two possible options as a creator when building your business:1) Pitch to management/labels who only have the ability to serve 5% of creators while charging 80% of your revenue, or 2) Run as an independent which is 95% of creators today, who often get overwhelmed with the additional business work that they need to mitigate. There is a lack of business support for creators, making the process of creator development inaccessible and extremely difficult. As such, Riff wants to decrease the industry gap and help struggling independent creators identify, learn and complete the right tasks to build their business. The virtual business partner operates on three pillars: first, it optimizes audience and revenue growth using AI-driven recommendations. Second, it improves efficiency through tailored flexible checklists and relevant tutorials/ tasks. Lastly, Riff motivates productivity with personalized coaches and a scalable feedback system.Ashok Dudhat",Technology
Thrillworks Inc,invoices@thrillworks.com,2000,"We are a team of makers, thinkers, and technologists here to craft digital experiences end-to-end.Well established for over 20 years, Thrillworks has created a legend, amongst our discerning clients, for high-quality work and uncommonly delightful service. We’re somewhat unique in our industry — we are not a digital agency, a software development shop or a strategic consultancy. We are much more than you could get from the sum of those individual parts.Ashok Dudhat",Technology
Digitiz-it,"Av 25 de Abril, 1097C, E5, 2750-515, Cascais",2018,"A challenge-oriented engineering company providing technology solutions based on artificial intelligence, image processing and IT to maritime areas across Europe.Ashok Dudhat",Technology
Coosto,Kennedyplein 101,,"What we doAt Coosto, we believe in the power of online and social media for your organization. Social media enable you to join conversations from which you were previously sidelined. Organizations that seize this opportunity with both hands, perform better in terms of customer happiness, brand reputation, brand awareness and revenue.That is why we develop and offer online and social media software that is fully focused on managing online conversations. Coosto lets you answer questions through social media and messenger apps, reach your audience with social media posts, and improve your online communication by analyzing talking points relevant to your brand or industry.This is our way of connecting people with organizations.How we workAt Coosto, we work hard to offer our customers experiences that help achieve their goals. We keep a close eye on social media trends, and are more than happy to go the extra mile to improve our software with powerful features. Which features? As a customer, you get a say in that as well. Together we shape the Coosto of tomorrow.We believe collaboration always leads to better results. That is why we facilitate loads of teambuilding activities. Whether it is our own version of ‘The Great British Bake-off’ or our own vitality program Coosto Active: we take care of the entertainment and relaxation needed to be able to fully focus on creating leading social media software experiences.Ashok Dudhat",Software
Kaizo,"Weesperstraat 61, 1018 VN  Amsterdam",2018,"We use the power of real-time data, AI and gamification in a B2B SaaS platform to enable employees managing and developing their performance towards achieving their goals and making an impact in their companies.Kaizo is a cloud-based SaaS solution for customer support teams with the vision to enable operational scaling within large organizations. Our team of currently 20 Ninjas have startup and enterprise experience alike, have always an opportunistic mood, and understand how to tackle the world while being constantly challenged.Our product has held its place amongst the top 10 rated apps in the Zendesk marketplace and is used by thousands of customer support professionals worldwide. We are also thrilled to have been named in Forbes list of Top 25 Machine Learning Startups To Watch In 2020.We are growing fast, and over the next year, we will grow much, much bigger. New Ninjas who will join our team will get a unique opportunity to experience that great journey with us.Ashok Dudhat",Technology
Clairvoyant,"6185 W Detroit St Chandler, AZ 85226  ",2012,"Clairvoyant is a global technology consulting and services company that helps organizations maximize the value of data. The company provides data engineering, analytics, machine learning and user experience consulting and development projects to some of the world’s largest brands. Clairvoyant clients rely on its deep vertical knowledge and best-in-class services to drive revenue growth, boost operational efficiencies, and manage risk and compliance. Industry partners include Cloudera, Amazon Web Services, Microsoft Azure, Google Cloud Platform, Zoomdata, Trifacta, and Streamsets. The company was founded in 2012 and is headquartered in Phoenix with offices in the U.S, India, and Canada. Ashok Dudhat",Technology
Direction des services d’immigration du Québec à Paris/Québec Immigration Office,"Délégation générale du Québec à Paris, 66 rue Pergolèse 75116 Paris, France",,"Québec is a modern society that offers a stimulating environment that is truly unique in the world. Recognized for its quality of life, it is a place where everyone feels safe and can find their place. Québec stands out for the warmth of its people, its job opportunities and its values based on tolerance and cultural diversity.For the 2017-2026 period, Québec will have to provide more than 1.4 million jobs, more than 20% of which will be filled by workers with a migrant background. This context is prompting more and more employers to turn to international recruitment of foreign workers or to hire workers with a migrant background.Presently, many employers are ready to hire foreign workers for temporary positions of six months to three years. There are many great work opportunities in the IT sector, for positions such as analysts, programmers, Web developers, Data scientists, project managers, video games developers, and many more.Ashok Dudhat",Information Technology
BOLD by Devoteam,"Torre Fernão de Magalhães, Av. Dom João II 43, 9 piso 1990-084 Lisboa",2009,"BOLD is a technology company focused on developing and delivering innovative technological solutions through a unique combination of technology expertise and agility, maximizing business value for our clients. Our solutions are based on a highly technical and specialized knowledge, which combine creativity, agility and design. We work everyday with specialized teams that bring their technical know-how to the development and innovation of all our projects. Our focus when it comes to supporting our client’s digital journey is about clear choices that build & develop skills in a very targeted way.Since 2018, BOLD by Devoteam has been part of the Devoteam Group, a global leading player in Digital Transformation for leading organisations across EMEA, with a revenue of €800M. Together, we share a common vision of transforming technology to create value for our clients, partners and employees in a world where technology is developed for people.Ashok Dudhat",Technology
Hyphen/Hyphen,"Rua Dr. Sobral, nº 13; 6260-184 Manteigas",2015,"Since 2015, Hyphen’s mission is to create great digital experiences, connecting the right professionals to the best digital transformation projects. We’ve been helping companies grow in the digital world, from banking to IT and telecommunications. We’re not just a company but a global community of digital experience creators, working from anywhere to everywhere.Hyphen is part of Group Tangível since 2017.Ashok Dudhat",Technology
Epiphany Infotech,"D-151, 3rd Floor, Phase 8, Industrial Area, Sahibzada Ajit Singh Nagar, Punjab, India 160059",2019,"Epiphany Infotech is a website designing, website development, Mobile App development and Digital Marketing company, providing services to enterprises across the world. Epiphany Infotech is an organization driven on latest trends in technology and helping the next big thing, becoming the next big thing.Our services are unique combination of best UX and UI practices, strong development and marketing approach. We adeptly handle every aspect of website development, from design, programming, copywriting and graphic design to complete development and branding of your website.Teamwork is in essence of Epiphany Infotech. The quest for acquiring new talent is always ongoing. Forever searching, experimenting, innovating, learning, moving ahead with our sincere efforts and dedication, shaping the future, and challenging ourselves to create new opportunities, is a never-ending process.Started with hands full of resources with just a vision in mind and the zeal to provide quality work to the clients and quality work environment to the staff, we look forward to change the game and make a world of difference. Our work , Client satisfaction, achievements records speaks for us. We believe in long term relationship with our clients and prefer word of mouth marketing in addition to the traditional methods as references builds trust and trust goes a long way.Epiphany Infotech take care of your technology management needs so that you can focus on the fun part. We assure to deliver maximum value to our clients with an affordable prices. Epiphany Infotech’s skill sets are widely spread in:Web-DesigningWeb-DevelopmentMobile ApplicationDevelopment and MaintenanceCustomized solutionsQuality AssuranceAshok Dudhat",Technology
Zeronsec,"Devidas Lane Borivali West  701-4 Sai Janak Classic  Mumbai, Maharashtra 400103, IN",2008,"Zeronsec is a Customer protection focused Cyber Security company. Our core business activities include Threat Research, develop niche Cyber Security Products and provide advance consulting services. The combination of our self researched Threat Intelligence and products  along with consulting services and seasoned professionals  helps us create and deliver greater and differentiated value. Customers trust us for their need like Managed Security Operations, Attack Hunting, Security Assessment, Compliance consulting (ISO 27001, PCI etc.), Cyber Forensics investigation and many more specialized consulting services. Ashok Dudhat",Cybersecurity
InfyOm Technologies,"Mota Vrachha, Surat ",2015,We are a group of creative nerds with vast experience in various technologies and developing web apps for more than 7 years. We made really great products together working with various startups and turned their ideas into reality. InfyOm Technologies believe in working on a thing that makes a difference in people’s lives and building long-term & honest relationships.Ashok Dudhat,Technology
MAK TECHNOLABS PRIVATE LIMITED,"MAK TechnoLabs Pvt. Ltd.  174 - G2, Ground Floor, Sumer Nagar 1, Kharbas Circle, Iskon Road, Mansarovar Ext. JAIPUR, RAJASTHAN, 302020 India",2009,"MAK TechnoLabs is a leading web hosting & web development solutions company. Since our founding in 2009, MAK TechnoLabs has continually innovated new ways to deliver on our mission: to empower people to fully harness the web.Ashok Dudhat",Technology
